  189.  94.9999985 2
  278.999999  127.000001 2
  122.000001  88.9999997 1
  97.0000018  85. 1
  284.999999  187.000001 2
  236.  174.999999 1
  293.999999  223.000001 2
  243.999999  190. 1
  188.  166.999999 1
  252.  223.000001 1
  313.999999  276. 2
  229.  207. 1
  259.  235.999999 1
  258.999999  238.000002 1
  196.999999  183.000001 1
  269.000001  247.999999 2
  334.  307.000002 2
  215.000001  202.999999 1
  236.999999  224. 1
  312.999999  299.000002 2
  193.  190.999998 1
  252.999999  253.999999 2
  267.000002  272.000001 2
  220.000001  229.999998 1
  260.000001  273.999999 2
  225.000001  236.999999 1
  291.000001  322.999999 2
  256.000003  290. 2
  211.999999  237.999998 1
  201.000002  238. 1
  120.000001  136.999999 1
  212.999999  275. 2
  84.0000009  85.0000013 1
  148.000001  191. 1
  192.  273. 2
  118.  149. 1
  175.  263.999999 2
  131.000001  223.000002 2
  81.0000022  82.0000003 1
  92.0000012  251.999999 2
  77.9999995  321.999999 3
  77.0000005  255.000001 2
  76.0000005  117.999998 1
  76.9999986  96.9999994 1
  27.0000011  238.000002 3
  73.0000011  91.0000004 1
  19.9999991  189.999999 2
  50.9999997  115.000001 2
  13.9999987  139. 2
  13.0000011  135.000001 2
  23.9999994  111.999999 2
  51.9999998  82.0000013 1
  16.000001  79.9999995 2
  28.9999995  71.0000007 1
  27.9999992  64.9999994 1
  22.0000004  59.0000017 1
  35.000001  60.9999995 1
  6.99999974  48.0000017 2
  8.99999894  45.0000005 2
  50.0000007  63.9999984 1
  12.9999981  46.0000011 1
  23.0000016  45.0000003 1
  4.00000075  32.0000007 2
  21.0000017  36.9999989 1
  13.9999995  29.9999993 1
  10.0000002  26.9999992 2
  12.9999999  22.9999996 2
  23.0000015  30.9999979 1
  1.00000206  10.9999995 2
  8.00000011  15.9999997 2
  9.00000094  15.999999 2
  11.9999987  18.0000004 2
  14.0000011  17.9999999 2
  20.9999991  23.9999986 1
  19.9999999  23.0000011 1
  10.9999989  14.0000002 2
  18.0000001  14.0000001 2
  22.9999985  18.9999995 1
  18.0000013  12.9999985 2
  41.0000001  36.0000012 1
  19.9999997  11.9999995 2
  24.0000005  15.9999993 1
  28.0000001  8.99999971 2
  29.9999991  10.9999992 2
  39.0000014  23.0000013 1
  46.9999993  32.0000009 1
  49.0000009  32.0000009 1
  33.9999997  5.999999 2
  43.9999995  20.9999986 1
  43.9999999  20.9999973 1
  36.0000003  6.99999945 2
  58.9999997  38.9999992 1
  48.9999995  19.9999995 1
  43.9999995  8.00000128 2
  63.9999995  40.0000012 1
  78.9999996  63.0000009 1
  83.0000012  23.9999989 1
  92.0000003  13.0000011 2
  98.999999  18.9999992 2
  108.  20.0000006 2
  115.  36.9999988 2
  110.000001  44.0000013 1
  220.  6.99999921 2
  174.999999  48.0000012 2
  259.  35.9999992 2
  320.000002  25. 3
  284.000002  36.9999974 2
  157.  70.9999998 1
  274.000001  65.0000002 2
  168.  73.0000006 2
  96.  77.9999995 1
